Farmer_ID,Farmer_Name,Village,District,State,Latitude,Longitude,Crop,Waste_Type,Waste_Weight_KG,Available_Date,Pickup_Time,Road_Access,Vehicle_Access,Moisture
FRM00001,Ganesh Joshi,Bangra,Jhansi,Uttar Pradesh,25.587025,78.590466,Paddy,Straw,364.0,2026-08-11,Morning,Yes,Tractor,20.6
FRM00002,Pramod Chauhan,Machhara,Meerut,Uttar Pradesh,28.77874,77.552882,Wheat,Straw,981.0,2026-08-21,Morning,No,Tractor,12.7
FRM00003,Jitendra Tiwari,Kairana,Muzaffarnagar,Uttar Pradesh,29.536953,77.998639,Paddy,Straw,354.7,2026-08-13,Afternoon,No,Bullock Cart,22.4
FRM00004,Ganesh Dubey,Lopoke,Amritsar,Punjab,31.473733,75.025602,Mustard,Stalk,425.5,2026-07-27,Morning,No,Bullock Cart,11.3
FRM00005,Santosh Bind,Mendu,Hathras,Uttar Pradesh,27.49557,78.147572,Paddy,Straw,768.4,2026-08-16,Evening,Yes,Mini Truck,19.4
FRM00006,Yogesh Bajpai,Siyana,Bulandshahr,Uttar Pradesh,28.482754,77.975073,Paddy,Straw,718.9,2026-07-26,Morning,No,Bullock Cart,21.1
FRM00007,Shyamlal Prajapati,Sonkh,Mathura,Uttar Pradesh,27.685977,77.556138,Paddy,Straw,998.8,2026-08-14,Afternoon,Yes,Tractor,23.0
FRM00008,Lokesh Chaudhary,Bhadohi,Varanasi,Uttar Pradesh,25.313631,82.762395,Wheat,Straw,555.7,2026-08-10,Afternoon,Yes,Tractor,25.0
FRM00009,Ramlal Tiwari,Soraon,Prayagraj,Uttar Pradesh,25.490539,81.644111,Wheat,Straw,1252.4,2026-08-02,Evening,Yes,Tractor,16.0
FRM00010,Rajkumar Kewat,Thakurdwara,Moradabad,Uttar Pradesh,28.704426,78.741559,Paddy,Straw,895.6,2026-08-17,Evening,Yes,Mini Truck,15.7
FRM00011,Devendra Singh,Naultha,Panipat,Haryana,29.477655,76.871717,Cotton,Stalk,268.1,2026-08-11,Evening,No,Bullock Cart,21.0
FRM00012,Brijesh Verma,Etmadpur,Agra,Uttar Pradesh,27.228375,77.869439,Mustard,Stalk,952.3,2026-08-09,Morning,No,Bullock Cart,9.5
FRM00013,Yogesh Jain,Naraini,Jhansi,Uttar Pradesh,25.54773,78.534037,Mustard,Stalk,480.8,2026-08-11,Evening,No,Bullock Cart,11.6
FRM00014,Brijlal Soni,Mauranipur,Jhansi,Uttar Pradesh,25.252882,78.648624,Wheat,Straw,268.4,2026-08-11,Morning,Yes,Tractor,8.4
FRM00015,Surendra Vishwakarma,Sonkh,Mathura,Uttar Pradesh,27.532709,77.69187,Paddy,Straw,580.8,2026-07-31,Evening,Yes,Bullock Cart,19.4
FRM00016,Harishchandra Shah,Kalyanpur,Kanpur,Uttar Pradesh,26.528251,79.977397,Paddy,Straw,1254.4,2026-08-07,Afternoon,Yes,Tractor,14.0
FRM00017,Giridhar Gupta,Fatehpur Sikri,Agra,Uttar Pradesh,27.027643,78.112689,Wheat,Straw,501.9,2026-08-07,Morning,Yes,Tractor,15.6
FRM00018,Bharat Rai,Malihabad,Lucknow,Uttar Pradesh,27.029878,80.728558,Cotton,Stalk,694.6,2026-07-27,Morning,Yes,Mini Truck,8.3
FRM00019,Yogendra Jain,Khanpur Kolian,Panipat,Haryana,29.395935,76.97197,Wheat,Straw,1600.5,2026-08-07,Evening,No,Bullock Cart,15.7
FRM00020,Badri Mallah,Khurja,Bulandshahr,Uttar Pradesh,28.477773,77.953701,Sugarcane,Bagasse,1221.7,2026-07-26,Morning,Yes,Mini Truck,20.7
FRM00021,Ravindra Lohar,Iglas,Aligarh,Uttar Pradesh,27.966755,78.070554,Paddy,Straw,308.7,2026-08-06,Morning,No,Bullock Cart,22.7
FRM00022,Ramnarayan Shah,Mat,Mathura,Uttar Pradesh,27.715299,77.799882,Sugarcane,Bagasse,1889.0,2026-08-16,Afternoon,Yes,Tractor,11.5
FRM00023,Brijesh Rajput,Kairana,Muzaffarnagar,Uttar Pradesh,29.354681,77.975784,Paddy,Straw,1193.9,2026-07-28,Morning,Yes,Mini Truck,17.6
FRM00024,Yogendra Agarwal,Asmoli,Sambhal,Uttar Pradesh,28.672644,78.486911,Wheat,Straw,1155.0,2026-08-19,Evening,Yes,Mini Truck,13.1
FRM00025,Fullu Yadav,Lakhan Majra,Rohtak,Haryana,28.892039,76.534021,Cotton,Stalk,889.4,2026-08-14,Afternoon,Yes,Tractor,11.5
FRM00026,Yogendra Kumar,Kheragarh,Agra,Uttar Pradesh,27.033932,78.082461,Wheat,Straw,392.0,2026-07-30,Evening,Yes,Pickup Van,24.7
FRM00027,Dharmendra Sharma,Bah,Agra,Uttar Pradesh,27.465138,77.90436,Sugarcane,Bagasse,1718.8,2026-07-29,Afternoon,Yes,Tractor,17.9
FRM00028,Bhola Srivastava,Israna,Panipat,Haryana,29.419112,77.073598,Wheat,Straw,1185.8,2026-08-13,Evening,Yes,Bullock Cart,22.9
FRM00029,Naresh Patel,Tarn Taran,Amritsar,Punjab,31.91638,74.916636,Maize,Residue,676.4,2026-08-17,Morning,Yes,Pickup Van,19.4
FRM00030,Ajay Gupta,Raza Nagar,Sambhal,Uttar Pradesh,28.641413,78.500683,Wheat,Straw,1668.0,2026-08-01,Morning,Yes,Tractor,22.8
FRM00031,Ravindra Dwivedi,Patti,Amritsar,Punjab,31.588386,75.118771,Cotton,Stalk,1028.0,2026-07-25,Morning,No,Tractor,13.6
FRM00032,Pramod Kumar,Sonkh,Mathura,Uttar Pradesh,27.359988,77.581789,Wheat,Straw,1970.8,2026-08-22,Evening,Yes,Tractor,10.0
FRM00033,Ramlal Agarwal,Harahua,Varanasi,Uttar Pradesh,25.423556,82.688136,Wheat,Straw,279.5,2026-08-04,Evening,Yes,Pickup Van,19.3
FRM00034,Surendra Agarwal,Sachendi,Kanpur,Uttar Pradesh,26.36126,80.177865,Sugarcane,Bagasse,626.1,2026-08-06,Evening,Yes,Tractor,19.3
FRM00035,Arvind Goyal,Nawabganj,Bareilly,Uttar Pradesh,28.452477,79.283187,Wheat,Straw,1223.0,2026-08-08,Afternoon,Yes,Tractor,19.1
FRM00036,Suresh Sharma,Bijauli,Aligarh,Uttar Pradesh,28.078862,78.195002,Wheat,Straw,1664.1,2026-08-15,Afternoon,Yes,Tractor,20.8
FRM00037,Rakesh Shah,Mawana,Meerut,Uttar Pradesh,28.599845,77.766986,Sugarcane,Bagasse,1806.4,2026-08-16,Evening,Yes,Tractor,17.8
FRM00038,Fullu Tiwari,Chandausi,Moradabad,Uttar Pradesh,29.109862,78.556425,Maize,Residue,406.4,2026-08-16,Evening,Yes,Mini Truck,21.7
FRM00039,Fullu Prajapati,Manak Nagar,Lucknow,Uttar Pradesh,26.952714,80.629541,Cotton,Stalk,1145.0,2026-08-13,Evening,No,Bullock Cart,23.2
FRM00040,Pradeep Gupta,Sarojini Nagar,Lucknow,Uttar Pradesh,27.088418,81.322668,Wheat,Straw,607.4,2026-08-18,Evening,Yes,Tractor,18.8
FRM00041,Mukesh Bind,Siyana,Bulandshahr,Uttar Pradesh,28.420101,77.984762,Paddy,Straw,441.3,2026-07-29,Evening,Yes,Mini Truck,14.5
FRM00042,Harish Agarwal,Patara,Kanpur,Uttar Pradesh,26.799638,80.476164,Mustard,Stalk,625.7,2026-08-21,Evening,Yes,Tractor,19.8
FRM00043,Ramnarayan Bansal,Soron,Etah,Uttar Pradesh,27.341551,78.784735,Maize,Residue,1356.9,2026-08-02,Afternoon,Yes,Tractor,16.3
FRM00044,Pramod Verma,Karhal,Mainpuri,Uttar Pradesh,27.188779,78.732956,Bajra,Residue,687.5,2026-08-12,Evening,Yes,Tractor,23.4
FRM00045,Vijay Mishra,Mendu,Hathras,Uttar Pradesh,27.63616,78.141845,Paddy,Straw,723.0,2026-08-06,Afternoon,No,Bullock Cart,20.9
FRM00046,Suresh Kumhar,Bithoor,Kanpur,Uttar Pradesh,26.449499,80.266485,Wheat,Straw,276.9,2026-07-26,Morning,No,Tractor,24.3
FRM00047,Brijlal Tiwari,Bijauli,Aligarh,Uttar Pradesh,28.080109,78.273534,Bajra,Residue,611.5,2026-08-05,Morning,Yes,Bullock Cart,12.4
FRM00048,Ravindra Mittal,Akabarpur,Mainpuri,Uttar Pradesh,27.301974,79.127536,Paddy,Straw,699.1,2026-08-06,Afternoon,No,Tractor,19.5
FRM00049,Girish Gupta,Narkhi,Firozabad,Uttar Pradesh,27.167778,78.588723,Mustard,Stalk,640.4,2026-08-12,Morning,Yes,Mini Truck,10.1
FRM00050,Ramlal Mallah,Sarsaul,Kanpur,Uttar Pradesh,26.238774,80.658962,Paddy,Straw,1737.3,2026-08-20,Afternoon,Yes,Mini Truck,18.8
FRM00051,Giridhar Mishra,Goindwal,Amritsar,Punjab,31.593977,75.1878,Maize,Residue,750.8,2026-08-12,Afternoon,Yes,Tractor,22.0
